specialties,company_name,industry,contact_phone,contact_email,company_website,contact_name,designation,Country,State,City,building_location,admin_id,contact_name_notes,company_address
,Credence International,,971 4 5?5?659?00,info@credence-international.com,http://www.credence-international.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,NP call,
,"Taramesh General Trading, LLC",,971 4 3697244,info@taramesh.ae,http://www.taramesh.ae/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,Rpt,
,"Vaya General Trading, LLC",,971 4 3697244,info@vaya.ae,http://www.vaya.ae/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,spoke to admin sent mail,
,Foamglas Building,,971 4 4347140,info@foamglas.ae,http://ae.foamglas.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,Not valid number,
,Al-Jazirah Printing Press & Publishing,,971 4 4541450,sipasaha@al-jazirah.com.sa,http://www.al-jazirah.com,Ms. Sipasha,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,spoke to admin sent mail to hr,
,The Hub Concept,,971 4 3649250,info@thehubconcept.com,http://www.thehubconcept.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,Not valid number,
,"Pennington Real Estate, LLC",,"97144537375 ,",info@pennington.ae,http://www.pennington.ae/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,NP call,
,"Eagle Global Transport, LLC",,971 4 8?8?004?71,dev@egpme.com,http://www.eaglelogisticservice.com/,Mr. Dev,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Arenco Tower ,Anisha1,spoke to admin sent mail to hr,
,Careem,,971 4 4405222,info@careem.com,https://www.careem.com/dubai/node,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,"Travelstart FZ, LLC",,971 4 5515322,info@travelstart.ae,https://www.travelstart.ae,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,"Innocean Worldwide Middle East & Africa, FZC",,971 4 5149423,velentina@innocean.com,http://www.innocean.com/ww-en/,Ms. Velentina,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin,
,DESCO,,971 4 4465810,descoalshatha@descoonline.com,http://www.descoonline.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin,
,"Planworks Communication Fz, LLC",,971 4 4572918,sales@planworksme.com,http://planworksme.com/,Ms. Deepa,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin,
,"Argus Media, LTD",,971 4 4345112,dubai@argusmedia.com,http://www.argusmedia.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Yzer Group,,971 4 5148100,reception@yzergroup.com,https://yzerproperty.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Spoke to admin sent mail,
,CH2M,,971 4 4517853,Lorrie.Crum@ch2m.com,https://www.ch2m.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Wrong number,
,"Red Group Services FZ, LLC",,971 4 4503873,info@red-it.com,http://www.red-eng.com/Services/ict-services/,Mr. Loy,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Call later for mr. Loy,
,SICPA Security Solutions,,971 4 4468900,info@sicpa.com,http://www.sicpa.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Not valid number,
,"LCC Middle East FZ, LLC",,971 4 3911700,info@lcc.com,http://www.lcc.com/index.php/en/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Beematters,,971 4 4279704,info@beematters.com,http://beematters.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Panache Middle East,,971 4 4548511,khristine.p@panachemiddleeast.com,http://www.panachemiddleeast.com/,Ms. Khristine,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin,
,Media International Advertising,,971 4 4548690,info@meiac-uk.com,http://www.meiac-uk.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Multi Choice Africa,,971 4 4397900,info@multichoice.com,http://www.multichoice.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,,
,DNO International,,971 4 3642620,dno@dno.no,dno@dno.no,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,,
,TK MMA & Fitness,,97144523388,ac@tkmmafit.com,http://tkmmafit.com/,Mr. Rama,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin,
,Bluebay Real Estate,,971 4 4210430,maher.khalil@bluebayae.com,http://www.bluebayae.com/,Mr. Maher,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to director,
,"Exclusive Networks, company",,971 4 3757612,info@exclusive-networks.com,http://www.exclusive-networks.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,"i4 Research FZ, LLC",,971 4 446 1511,info@i4research.ae,http://www.i4research.ae/,Ms. Sangeetha,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,No need,
,Zaini Media,,971 4 4412092,info@zainimedia.com,http://www.zainimedia.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Np call,
,AIMS,,971 4 4279669,info@aimsuae.com,https://www.aimsuae.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Evolution Media Network Advertising,,971 4 5149533,info@evmedianetwork.com,http://www.ev-advertising.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Tradall,,971 4 4233868,wsilbeiira@bacardi.com,http://www.bacardi.com/in/lda,Ms.Vendy,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to HR,
,"Sea Bird Exploration, FZE",,971 4 4271700,info@sbexp.com,http://www.sbexp.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Call not connecting,
,Lots Of Hotel,,971 4 5676300,mkader@lotsofhotels.com,https://www.lotsofhotels.com/cliente/login.aspx,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to HR,
,M & M Group,,971 4 4274044,@mnm.ae,https://www.mnm.ae/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,"Audatex FZ, LLC",,971 4 4542520,ben.barber@audatex.com,http://www.audatex.com/,Mr. Ben,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,"C3 Card International, LTD",,971 4 4355616,info@c3card.qa,http://www.c3card.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Brunswick Middle East,,971 4 4484251,services@brunswick.com,http://www.brunswick.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Not valid number,
,"Stats Middle East, LLC",,971 4 4548505,info@stats.com,https://www.stats.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Bio Pharma,,971 4 3692825,info@biopharma-mea.com,http://www.biopharma-mea.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Versalya Pharma Company,,971 4 5586723,samar.hamza@versalya.com,http://www.versalya-pharma.com/en,Ms. Samar,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Spoke to HR sent mail to HR,
,Mamlakat Al Asfar Travel & Tourism,,971 4 4471200,info@mamlakatalasfar.com,http://www.mamlakatalasfar.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Wiko Mobile Company,,971 4 4524335,schirammal@wikomobile.com,http://world.wikomobile.com/,Mr. Sibi,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Spoke to finance manager sent mail to him,
,Movenpick Hotels & Resorts,,971 4 3671927,info@movenpick.com,http://www.movenpick.com/en/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Tape Events,,971 4 3669543,info@tapeevents.com,http://www.tapeevents.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Imagine Communications Middle East,,971 4 4338250,karina.abante@imaginecommunications.com,http://www.imaginecommunications.com/,Ms. Karina,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail,
,Meltwater Middle East Company,,971 4 4343943,info@meltwater.com,https://www.meltwater.com/in/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Call not connecting,
,Afkart Projection House,,971 4 4539630,info@afkart.com,http://www.afkart.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,"Dubicars International FZ, LLC",,971 4 5560345,lanie@dubicars.com,https://www.dubicars.com/,Ms. Lanie,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin,
,"Epoints Fz, LLC",,971 4 4581624,nmiranda@epoints.me,http://www.epoints.me/epoints/pages/default.aspx?CtryId=1&LangId=2,Ms. Narissa,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin,
,Milkshake Media,,971 4 4572021,info@milkshakeme.com,http://www.milkshakeme.com/,Ms. Clen,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin,
,AOP Orphan Pharmaceuticals,,971 4 4539685,info@aoporphan.com,http://www.aoporphan.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin,
,AD Maiora,,971 4 4215811,info@admaioramedia.com,http://www.admaioramedia.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Not valid number,
,V Plus,,971 4 4380380,info@plusworldwide.com,http://vplusworldwide.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,call back,
,"FSI Middle East, FZE",,971 4 4495380,info@fsime.ae,http://www.fsime.ae/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,not interested,
,Emerald Group,,971 4 4461439,info@emeraldgrouppublishing.com,http://www.emeraldgrouppublishing.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,ADfactors PR,,971 4 4264632,info@adfactorspr.com,http://www.adfactorspr.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Not valid number,
,Hermes Parfumes,,971 4 4467427,info@usa.hermes.com,http://usa.hermes.com,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Eastern Clinical Laboratories,,971 4 4503875,info@easternbiotech.com,http://www.easternbiotech.com/,Ms. Lovely,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin Leila sent mail to hr,
,Meeting Minds,,971 4 4270492,muthu@meetingmindsdubai.com,http://meetingmindsdubai.com/,Mr. Muthu,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to hr,
,"Mosaic Live, LLC",,971 4 4456717,info@mosaiclive.com,http://www.mosaiclive.com/,Ms. Aditi,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to hr,
,"Power Horse FZ, LLC",,971 4 3688430,info@power-horse.com,http://www.power-horse.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Not valid number,
,"ITE Gulf Fz, LLC",,971 4 4332971,office@cem-gulf.com,http://www.ite-gulf.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Not valid number,
,Yzer Yachts,,971 56 477 42 97,info@yzeryachts.com,https://yzeryachts.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Mobie number,
,"ITE Eurasian Exhibitions FZ, LLC",,971 4 4572926,enquiry@ite-eurasian.com,http://www.ite-eurasian.com/,Ms. Anna,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to hr,
,"LST Middle East FZ, LLC",,971 4 3623437,info@lst-middleeast.com,http://www.lst-middleeast.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Not interested,
,AQUALYNG,,971 4 4458277,info@aqualyng.com,http://www.aqualyng.com,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Not valid number,
,"Heptagon Multimedia, FZC",,971 4 5519434,info@heptagonmedia.ae,http://www.heptagonmedia.ae/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Not valid number,
,Imagin8,,971 4 4322079,info@imagin8-me.com,http://www.imagin8-me.com,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Not interested,
,"Etana Production, LLC",,971 4 4345350,secretary@etana.tv,http://www.etana.tv,Mr. Alyasa,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to secretary sent mail to her,
,"M Premiere Fz, LLC",,971 4 4473863,info@mpremiere.com,http://mpremiere.com/,Mr. Alex,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to hr sent mail to hr,
,"Safety Key Solutions, FZC",,971 4 3748691,laurent.grantisson@sk-navigator.com,http://www.sk-navigator.com/,Mr. Laurent,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to hr,
,"Traffik 360 FZ, LLC",,971 4 4534033,info@traffik360.com,http://traffik360.com/,Mr. Michael,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to hr,
,"Djavu FZ, LLC",,971 4 3757410,shivani@dejavu.ae,http://www.dejavu.ae/,Ms. Shivani,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to hr sent mail to HR no need hr not in uae,
,Grass Valley,,971 4 4214470,srithar.shettigar@grassvalley.com,http://www.grassvalley.com/home/,Mr. Srithar,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to hr sent mail to HR no need hr not in uae,
,Keyade Middle East,,971 4 3675926,info@keyade.me,http://www.keyade.me/en/,Ms. Kimberly,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to hr,
,"Shifra FZ, LLC",,971 4 3748260,info@shifra-me.com,http://shifra-me.com/,Ms. Shelia,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin,
,"Hot Media Publising Fz, LLC",,971 4 3642880,binu@hotmediapublishing.com,http://www.hotmediapublishing.com/,Mr. Binu,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to hr sent mail to HR,
,TBI Media,,971 4 4565362,info@tbimedia.co,http://www.tbimedia.co/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Treehouse,,971 4 4560558,info@treehouse.ae,http://www.treehouse.ae/,Ms. Pamela,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to hr sent mail to hr no need,
,"Speed Entertainment FZ, LLC",,971 4 4341483,info@speed-entertainment.com,http://www.speed-entertainment.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,"Eyepoint Pictures FZ, LLC",,971 4 4247037,info@eyepoint.ae,http://eyepoint.ae/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Not valid number,
,IT Butler E-Services,,971 4 3692537,info@itbutler.com.au,http://www.itbutler.com.au/home.php,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,Meyer Sound,,971 556431283,info@meyersound.com,https://meyersound.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Mobile number,
,"Quantum Naturals FZ, LLC",,971 4 4542950,admin@quantum-naturals.in,https://www.quantum-naturals.in/,Mr. Jameel,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to hr,
,EVS Broadcast Equipments,,971 4 3654232,info@evs.com,https://evs.com/en,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,no need,
,Onmobile Global Limited,,971 4 4401219,sachin.jain@onmobile.com,http://www.onmobile.com/,Mr. Sachin,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Hr is in india spoke to hr sent mail to hr,
,"Intralinks, LTD",,971 4 3753498,info@intralinks.com,https://www.intralinks.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,hr not in dubai no need,
,Dmitriy Zotov Yzer Yachts,,971 564774297,info@yzeryachts.com,https://yzeryachts.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Mobile numer,
,"ROAYA MEDIA PRODUCTIONS FZ, LLC",,971 4 4518910,info@roaya.com,http://roaya.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,"STRYXGULF FZ, LLC",,971 4 4347404,info@stryxgulf.com,http://stryxgulf.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Number repetition,
,"Actix LLC, FZE",,971 4 4461403,,,,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,NP call,
,"Mint Production LLC, FZC",,971 4 4404933,mani.a@mintmena.com,http://mintmena.com/,Mr. Mani,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to hr sent mail to hr no need,
,FCBEscola,,971 4 4347404,info@stryxgulf.com,http://stryxgulf.com/,Ms. Christene,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin,
,Metelco,,971 4 4579195,info@metelcofz.com,http://www.metelcofz.com/,Ms. Helen,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin,
,Top Link International,,971 4 4504476,info@dudu.com,http://www.dudu.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Not available,
,The Traveling Shoe,,971 557418739,info@thetravelingshoe.com,http://www.thetravelingshoe.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,Mobile number,
,"SMS Global LLC, FZE",,971 4 4402600,abdul.rahman@smsglobal.com,http://www.smsglobal.com/,Mr. Abdul,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Al Shatha Tower ,Anisha1,spoke to admin sent mail to admin hr in australia,
,,,,,,,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),,Anisha1,,
,,,,,,,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),,Anisha1,,
,MEDIA ONE TOWER,,,,,,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),,Anisha1,,
06/18/2017,"Motivate Publishing, LLC",,971 4 4273000,motivate@motivate.ae,http://motivatepublishing.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Media One Tower ,Anisha1,NP call,
,Prestige Advocates & Legal Consultants,,971 4 4393733,info@prestigeadvocates.com,http://www.prestigeadvocates.com/,Mr. Moideen,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Media One Tower ,Anisha1,spoke to hr sent mail to hr,
,"Secure Engineering, LLC",,971 4 4231799,jpaltato@secure.ae,http://www.secure.ae/,Ms. Joan,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Media One Tower ,Anisha1,spoke to admin sent mail to admin,
,"Mosaic Facilities Management Services, LLC",,971 4 4300120,info@hhh-me.com,http://www.hhh-me.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Media One Tower ,Anisha1,NP call,
,"Aetna International, LLC",,971 4 4330400,dsad@aetna.com,https://www.aetnainternational.com,Mr. Darryl,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Media One Tower ,Anisha1,spoke to admin andria sent mail to HR,
,"Arup Gulf, LLC",,971 4 5507300,dubai@arup.com,http://www.arup.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Media One Tower ,Anisha1,spoke to admin sent mail to admin,
,Gianni Ranaulo Design,,971 4 4212666,dubai@lightarchitecture.net,http://www.gianniranaulo.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Media One Tower ,Anisha1,Np call,
,Rockwell Collins Middle East,,971 4 4230200,info@rockwellcollins.com,http://www.rockwellcollins.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Media One Tower ,Anisha1,Np call,
,"Humanspace Office Furnishing, LLC",,971 4 4561668,manu@tfp.ae,http://www.humanspace.com/,Mr. Manu,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Media One Tower ,Anisha1,spoke to hr sent mail to hr,
,"Global Process System, LLC",,971 4 4486800,info@gps-intl.com,http://www.gps-intl.com/,Mr. Dushyanth,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Media One Tower ,Anisha1,spoke to admin judy sent mail to hr,
,Repucom,,971 4 4432832,info@nielsensports.com,http://nielsensports.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Media One Tower ,Anisha1,Np call,
,"Backlite Media Fz, LLC",,971 4 4467540,info@backlitemedia.com,http://www.backlitemedia.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Media One Tower ,Anisha1,No need,
,The Furniture Practice General Trading,,971 4 3746040,info@tfp.ae,http://www.tfp.ae/,Mr. Manu,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Media One Tower ,Anisha1,spoke to tiffany admin sent mail to hr,
,GRE Assets Company,,971 4 5515989,dubaireception@greassets.com,http://greassets.co.uk/,Mr. Abdul,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Media One Tower ,Anisha1,spoke to abdul sent mail admin,
06/19/2017,C & J Energy Services,,971 4 4385400,info@cjenergy.com,http://cjenergy.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Media One Tower ,Anisha1,Np call,
,Aetna International,,971 4 4370538,info@aetnainternational.com,https://www.aetnainternational.com/,HR,,United Arab Emirates,Dubai,DMC ( Dubai Media City ),Media One Tower ,Anisha1,Not valid number,
